name	name2	sex	country	birth	height(cm)	weight(kg)	event	native	register
杨洋 	Yang Yang	男	中国	1991年6月26日	183	75	乒乓球	山东	山东
亚历山大·马里奇 	Alexander Maric	男	澳大利亚				篮球		
杨曼 	YANG Man	女	中国	1995年11月2日			足球	山东	
杨丽 	YANG Li	女	中国	1991年1月31日			足球	江苏	
尹成昕 	Yin Chengxin	女	中国	1995年2月5日	168	58	花样游泳	湖北	
于静瑶 	Yu Jingyao	女	中国	1999年2月13日			游泳	北京	
尤塞恩-博尔特 	Usain Bolt	男	牙买加	1986年8月21日	196	86	田径		
余成刚 	Yu Chenggang 	男	中国	1984年2月23日	181	70	赛艇	四川省	山东省
杨哲 	Yang Zhe	男	中国:	1991年7月14日	180		举重	山东	
伊拉·玛利亚麻·迪亚拉 	Elea Mariama Diarra	女	田径	1990年3月8日	175	56	田径		
易思玲 	YI Siling	女	中国	1989年5月6日	165	51	射击	湖南	广东
尤浩 	You Hao	男	中国	1992年4月26日			体操	江苏	江苏
易建联 	Yi Jianlian	男	中国	1987年10月27日	213	113	篮球	广东	广东
伊斯尔·阿尔本 	Isil Alben	女	土耳其	1986年2月22日	170	60	篮球		
杨珺 	Yang Jun	女	中国	1988年4月28日	180	69	女子水球	北京	天津
伊万·加西亚 	Iván García	男	墨西哥	1993年10月25日	165	55	跳水		
亚瑟明·达尔加拉尔 	Yasemin Dalgalar	女	土耳其	1988年6月8日	183	70	篮球		
余贺新 	Yu Hexin	男	中国	1996年1月1日			游泳	广东	
闫子贝 	Yan Zibei	男	中国	1995年10月			游泳	湖北	
杨晔 	Yang Ye	女	中国				艺术体操	辽宁	
叶诗文 	Ye Shiwen	女	中国	1996年3月1日	172	64	游泳	浙江	浙江
伊萨贝尔·雅稠堡 	Isabelle Yacoubou	女	法国		190		篮球		
杨斌 	Yang Bin	男	中国				摔跤		"山东
"
伊藤美诚 	Mima Ito	女	日本	2000年10月21日			乒乓球		
姚平 	Yao Ping	女	中国				自行车	山东	
颜妮 	Yan Ni	女	中国	1989年3月2日	192	72	排球	辽宁	
雅尼克-阿格内尔 	Yannick Agnel	男	法国	1992年6月9日	202	90	游泳		
叶卡捷琳娜·马卡洛娃 	Ekaterina Makarova 	女	俄罗斯	1988年6月7日	183	71	"网球
"		
于洋 	Yu Yang	女	中国	1986年4月7日	166	56	羽毛球	辽宁	辽宁
亚德里安娜·平托 	Adriana Pinto	女	巴西	1978年12月6日	170	62	篮球		
叶尔兰别克-卡泰 	Ye Er Lan Bie Ke Ka Tai	男	中国			66	摔跤	甘肃	
伊斯安妮·马奎斯 	Iziane Marques	女	巴西	1982年3月13日	182	71	篮球		
尤纳斯·瓦兰修纳斯 	Jonas Valanciunas	男	立陶宛	1992年5月6日	213	111	篮球		
周一涵 	Zhou Yihan	女	新加坡				乒乓球		
赵明刚 	Zhao Minggang	男	中国				拳击	河北	河北
张继科 	Zhang Jike	男	中国	1988年2月16日	181	70	乒乓球	山东	山东
朱仁学 	Zhu Renxue	男	中国	1991年4月6日	181	70	田径	云南	云南
张成龙 	Zhang Chenglong	男	中国	1989年5月12日	173	65	体操	山东省	山东省
张晓楠 	Zhang Xiaonan	女	中国				现代五项	辽宁	辽宁
张航 	Zhang Hang	男	中国	1991年10月28日	180	70	田径	云南	云南
郑荣植 	JEOUNG Youngsik	男	韩国	1992年1月20日	182	65	乒乓球		
朱世赫 	Joo Se-Hyuk	男	韩国	1980年1月20日	180	68	乒乓球		
张新艳 	ZHANG Xinyan	女	中国	1994年2月9日	164	48	女子中长跑	甘肃	甘肃
张馨月 	Zhang Xiyue	女	中国				赛艇	山东	
张灵 	Zhang Ling	女	中国				赛艇	上海	
周羿霖 	Zhou Yilin	女	中国				游泳	河北	
周敏 	Zhou Min	女	中国	1997年12月			游泳	上海	上海
朱梦惠 	Zhu Menghui	女	中国	1999年			游泳	浙江	
赵丽娜 	ZHAO Lina	女	中国	1991年9月18日			足球	上海	
张箫雪 	Zhang Xiaoxue	女	中国				曲棍球	辽宁	"辽宁
"
张越 	ZHANG Yue	女	中国	1990年9月30日			足球	天津	
张馨予 	Zhang Xinyu	女	中国				游泳	河南	
张雨霏 	Zhang Yufei	女	中国	1998年4月			游泳	江苏	
张雨涵 	Zhang Yuhan	女	中国	1995年			游泳	湖北	
赵容 	ZHAO Rong	女	中国	1993年9月27日			足球	北京	
周玉 	Zhou Yu	女	中国	1989年1月23日	174	68	皮划艇静水	湖南	湖南省 
张金荣 	Zhang Jinrong	女	中国	1997年3月24日			曲棍球	吉林	
张睿 	ZHANG Rui	女	中国	1989年1月17日			足球	山东	
张帅 	Zhang Shuai	女	中国	1989年1月21日	177	65	网球	天津	天津
朱启南 	Zhu Qinan	男	中国	1984年11月15日	182	67	射击	浙江	浙江
祖立军 	Zu Lijun	男	中国	1989年11月26日	185		游泳	江苏	
张麒斌 	Zhang Qibin	男	中国	1994年6月			游泳	山东	
朱韦伟 	Zhu Weiwei 	女	中国	1990年5月22日	180	72	赛艇	江苏省	江苏
赵敬楠 	Zhao Jingnan	女	中国				艺术体操	辽宁	
周鹏 	Zhou Peng	男	中国	1989年10月11日	206	90	篮球	辽宁	广东
张文秀 	Zhang Wenxiu	女	中国	1986年3月22日	182	113	女子链球	辽宁	辽宁
张潀 	Zhang Cong	女	中国	1990年5月3日	176	65	水球	天津	
张贤秀 	Jang hyun soo	男	韩国	1991年9月28日	187	77	男子足球		
赵子涵 	Zhao Zihan	女	中国	1993年9月4日	173	63	排球	上海	
张薇薇 	Zhang Weiwei	女	中国	1990年10月7日	183	64	女子水球	辽宁	
张国伟 	Zhang Guowei	男	中国	1991年6月4日	200	77	男子跳高	山东	山东省
赵志芳 	Zhao Zhi Fang	女	中国		165		篮球		
张培萌 	Zhang Peimeng	男	中国	1987年3月13日	186	86	田径	北京	北京市
张玲 	Zhang Lin	女	中国				艺术体操	浙江	
赵景滨 	Zhao Jingbin	男	中国				赛艇	山东	
周凤 	Zhou Feng	女	中国				摔跤	江西	
赵宝芳 	Zhao Baofang	女	中国				自行车	河南	
钟天使 	Zhong Tianshi	女	中国	1991年			自行车	上海	上海
赵玉雕 	Zhao Yudiao	女	中国	1989年5月25日	174	70	女子曲棍球	辽宁	"辽宁
"
詹姆斯·盖伊 	James Guy	男	英国	1995年11月26日	187	83	游泳		
张伯伦·奥古奇 	Chamberlain Oguchi	男	尼日利亚	1986年4月28日	198	91	篮球		
张楠 	Zhang Nan	男	中国	1990年3月1日	183	75	羽毛球	北京	北京
赵芸蕾 	Zhao Yunlei	女	中国	1986年8月25日	173	62	羽毛球	湖北	湖北
张凤柳 	Zhang Feng Liu	女	中国				摔跤	辽宁	
钟雪纯 	Zhong Xue Chun	女	中国	1994年			摔跤	广西壮族自治区	
张敏 	Zhang Min	女	中国	1991			帆船	山东济南	山东
周琦 	Zhou Qi	男	中国	1996年1月16日	217	95	篮球	河南新乡	新疆
翟晓川 	Zhai Xiaochuan	男	中国	1993年3月24日	204	100	篮球	河北唐山	
张浙慧 	Zhang Zhehui	女	中国			78	柔道	江苏	
赵继伟 	Zhao Jiwei	男	中国	1995年8月25日	185	77	篮球	辽宁海城	
邹雨宸 	Zou yuchen	男	中国	1996年7月5日	208	108	篮球	辽宁大连	
